Gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
one,0.451492,0.698323,0.0,0.495779,0.683717,-0.030347,0.532679,0.644606,-0.04829,0.535954,0.595333,-0.065116,0.528292,0.546134,-0.080099,0.551534,0.533789,-0.029141,0.577024,0.449623,-0.055504,0.589586,0.395667,-0.069822,0.596623,0.34879,-0.07874,0.513727,0.523549,-0.029315,0.529156,0.487634,-0.074013,0.517879,0.554297,-0.08411,0.509367,0.598344,-0.078938,0.477082,0.526334,-0.032814,0.486895,0.52091,-0.076488,0.481843,0.588188,-0.07099,0.479122,0.622475,-0.054369,0.441326,0.536846,-0.038643,0.453167,0.531927,-0.066376,0.455757,0.581208,-0.059676,0.457386,0.605368,-0.046365
one,0.485528,0.747541,0.0,0.543068,0.70838,-0.005479,0.579017,0.665504,-0.019349,0.606948,0.627456,-0.038625,0.608846,0.580336,-0.056785,0.54272,0.548934,-0.005287,0.562974,0.484783,-0.027201,0.5735,0.436038,-0.039121,0.577169,0.394153,-0.046965,0.516666,0.546266,-0.018825,0.581739,0.53081,-0.052295,0.586062,0.594157,-0.057809,0.571442,0.622591,-0.053082,0.498391,0.560273,-0.034397,0.567978,0.57491,-0.066763,0.565208,0.633215,-0.057964,0.547462,0.65392,-0.043647,0.486043,0.587436,-0.051144,0.543147,0.606519,-0.069659,0.543486,0.648172,-0.061138,0.527148,0.66414,-0.049836
one,0.49845,0.777335,-0.0,0.561255,0.729643,0.004763,0.587576,0.678734,-0.002719,0.61136,0.641425,-0.016011,0.630346,0.610565,-0.027905,0.535356,0.580966,0.001104,0.550999,0.521289,-0.013774,0.55447,0.47596,-0.022321,0.55507,0.435822,-0.029572,0.523636,0.581574,-0.014742,0.604605,0.568107,-0.040414,0.608145,0.616533,-0.043342,0.593502,0.640645,-0.039321,0.522988,0.599875,-0.031304,0.604565,0.615821,-0.053747,0.598413,0.659791,-0.046799,0.580859,0.676344,-0.037103,0.531313,0.628053,-0.048586,0.595078,0.649139,-0.060652,0.5925,0.683559,-0.055231,0.578755,0.696417,-0.048637
one,0.483824,0.76954,-0.0,0.542136,0.732846,0.013975,0.56948,0.686895,0.010695,0.596079,0.654126,-3e-05,0.619655,0.634374,-0.010268,0.527773,0.585392,0.00861,0.546273,0.526145,-0.000682,0.552469,0.482966,-0.006331,0.555421,0.443456,-0.012475,0.520337,0.584866,-0.010473,0.59827,0.579353,-0.02892,0.599779,0.626522,-0.029142,0.583207,0.64743,-0.025304,0.521886,0.603213,-0.029272,0.598713,0.621869,-0.04374,0.590455,0.662845,-0.035461,0.570454,0.675108,-0.027742,0.530696,0.630716,-0.048096,0.591354,0.654377,-0.053537,0.5832,0.686684,-0.046203,0.563365,0.695371,-0.04041
one,0.469816,0.762201,-0.0,0.534796,0.722723,0.012334,0.565263,0.675126,0.007553,0.589176,0.642236,-0.00428,0.609767,0.619296,-0.015521,0.522745,0.57465,0.003759,0.546697,0.513491,-0.008451,0.555255,0.468837,-0.015524,0.560698,0.428286,-0.02217,0.514058,0.576616,-0.015203,0.594575,0.577994,-0.036925,0.591999,0.625397,-0.037873,0.574553,0.646058,-0.033969,0.514112,0.598728,-0.033875,0.591667,0.625604,-0.050401,0.579476,0.664,-0.041324,0.559467,0.67412,-0.032739,0.521901,0.630311,-0.052724,0.581443,0.660031,-0.058912,0.572068,0.690804,-0.050767,0.553723,0.697525,-0.044214
one,0.464851,0.762095,-0.0,0.530657,0.722881,0.009191,0.562793,0.675602,0.001046,0.590463,0.643987,-0.013459,0.615969,0.625368,-0.026998,0.520807,0.567947,-0.003678,0.546148,0.503059,-0.019061,0.555528,0.454796,-0.028285,0.561821,0.412706,-0.036312,0.510479,0.57158,-0.022195,0.593624,0.577783,-0.046675,0.589891,0.624988,-0.048584,0.571391,0.643318,-0.045306,0.509855,0.596951,-0.04035,0.590222,0.627091,-0.059375,0.57809,0.666105,-0.049543,0.55804,0.675745,-0.040056,0.516915,0.632409,-0.058888,0.578054,0.664644,-0.066676,0.568931,0.695796,-0.057603,0.551427,0.70249,-0.049935
one,0.463215,0.766356,-0.0,0.530313,0.723218,0.009388,0.562282,0.676664,0.000617,0.588894,0.645737,-0.014713,0.613683,0.624328,-0.029172,0.521559,0.567528,-0.004059,0.546692,0.502349,-0.020332,0.55583,0.452784,-0.030176,0.561696,0.409773,-0.038542,0.509134,0.570906,-0.023269,0.596404,0.578046,-0.048661,0.592479,0.626566,-0.050849,0.572916,0.645566,-0.047589,0.506588,0.596919,-0.04215,0.590479,0.627118,-0.062408,0.578459,0.667243,-0.052419,0.557321,0.677332,-0.042519,0.511935,0.633223,-0.061352,0.576061,0.663702,-0.069898,0.568756,0.695859,-0.060106,0.55159,0.703909,-0.051622
one,0.475857,0.765546,-0.0,0.479165,0.683059,0.025322,0.500395,0.623757,0.026701,0.529949,0.603698,0.020445,0.558343,0.607363,0.012393,0.506593,0.571929,0.005699,0.530445,0.496966,0.004101,0.545937,0.452052,0.004025,0.558356,0.418013,0.002642,0.525706,0.584035,-0.014081,0.5872,0.581836,-0.015361,0.583749,0.617532,-0.010772,0.567277,0.632318,-0.007945,0.546945,0.61625,-0.030499,0.598493,0.621252,-0.026154,0.589413,0.648281,-0.013682,0.572617,0.657449,-0.008053,0.565478,0.65387,-0.045725,0.606418,0.653135,-0.034082,0.596738,0.676439,-0.017216,0.580404,0.688445,-0.006681
one,0.508173,0.778534,-0.0,0.481809,0.710893,0.017413,0.496992,0.661889,0.020422,0.521053,0.637201,0.019196,0.543425,0.639751,0.016127,0.519793,0.597751,0.002481,0.532183,0.52463,0.004608,0.539099,0.477836,0.004913,0.545727,0.442523,0.003611,0.553421,0.602635,-0.006129,0.561484,0.609546,0.004873,0.554921,0.631533,0.011028,0.548704,0.644162,0.011691,0.58089,0.633371,-0.011555,0.572422,0.642235,0.003252,0.565418,0.658674,0.011694,0.558676,0.669762,0.012137,0.599391,0.666289,-0.016356,0.591449,0.672637,0.000616,0.583917,0.686848,0.013345,0.575944,0.699987,0.020385
one,0.512858,0.785773,-0.0,0.478142,0.721698,0.007447,0.48446,0.662619,0.007874,0.508139,0.63196,0.006237,0.531968,0.627893,0.00324,0.509342,0.597805,-0.005721,0.517014,0.524462,-0.009325,0.522134,0.475121,-0.012612,0.526866,0.43806,-0.015853,0.546017,0.603604,-0.01044,0.540117,0.597111,-0.007743,0.530419,0.618825,-0.003565,0.526553,0.635903,-0.002275,0.573829,0.630547,-0.013323,0.559016,0.628029,-0.00997,0.549857,0.645261,-0.002857,0.545186,0.662899,0.000293,0.592851,0.659931,-0.015917,0.579836,0.653535,-0.009308,0.570682,0.667812,0.000931,0.56509,0.684809,0.008552
